id,Guess_1,hypocrite,inauthentic,disingenuous,moral,ethical,trust,comm_h,lie_freq,future_lie,extreme_lie,Q602,Q603,Q600,Q489,Q490,Q615,hypo_2,inauth_2,disingen_2,moral_2,ethical_2,trust_2,comm_h2,lie_freq2,future_lie2,extreme_lie2,Q811,final_guess,gender,econ,age,purpose,condition,Country,Advice_num,Advice_denom,advice
34,450,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Extremely,Very,Extremely,Very,Slightly often,Slightly likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Somewhat agree,Agree,Moderately,Moderately,Somewhat,Very,Moderately often,Somewhat likely,Moderately extreme,I am ready to continue.,9.24,Male,1,32,learn about this participant's previous behavior in a different study. ,2,1,440.76,440.76,1
35,2.5,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Extremely,Extremely,Not often at all,Not very likely,Very extreme,Both SENDER and RECEIVER,SENDER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Very often,Extremely likely,Not at all extreme,I am ready to continue.,9.24,Male,0,26,I guess it's about trusting another person.,1,2,6.74,6.74,1
36,22,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Not very,Not very,Not at all,Not at all,Somewhat often,Moderately likely,Not very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Somewhat agree,Neither agree nor disagree,Not very,Not very,Not at all,Not at all,Somewhat often,Moderately likely,Not very extreme,I am ready to continue.,10,Female,3,37,This study was related to decision making influenced by several factors and what would be my attitude towards them.,2,2,12,12.76,0.940438871
37,2,Neither agree nor disagree,Agree,Strongly agree,Not very,Not very,Not very,Not very,Very often,Very likely,Not very extreme,Both SENDER and RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Somewhat agree,Somewhat agree,Slightly,Slightly,Slightly,Not very,Moderately often,Very likely,Not very extreme,I am ready to continue.,2,Male,1,31,to test the honesty of people.,2,2,0,7.24,0
38,60,Agree,Somewhat agree,Neither agree nor disagree,Moderately,Very,Very,Very,Moderately often,Very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Neither agree nor disagree,Agree,Very,Very,Moderately,Moderately,Moderately often,Very likely,Moderately extreme,I am ready to continue.,30,Male,3,30,na,2,1,30,50.76,0.591016548
39,6.5,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Somewhat,Slightly often,Very likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Slightly,Slightly,Slightly,Not very,Slightly often,Extremely likely,Not very extreme,I am ready to continue.,9,Female,0,54,to see whether we trusted our partner after learning that they lied in a previous game with another partner,2,2,2.5,2.74,0.912408759
40,2,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Somewhat,Slightly often,Slightly likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Somewhat often,Somewhat likely,Slightly extreme,I am ready to continue.,3,Male,1,35,it was about trust,1,2,1,7.24,0.138121547
41,200,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Not very,Slightly,Somewhat often,Moderately likely,Not very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not at all,Not at all,Not at all,Not at all,Very often,Extremely likely,Not very extreme,I am ready to continue.,200,Male,0,30,decision making,2,1,0,190.76,0
42,3,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Somewhat,Somewhat,Slightly,Slightly often,Slightly likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Slightly,Not very,Somewhat often,Moderately likely,Not very extreme,I am ready to continue.,5,Male,0,29,To guess the amount of coins in a jar and get advice from someone else on the amount that they know but could lie about.,2,2,2,6.24,0.320512821
43,5,Disagree,Disagree,Disagree,Extremely,Moderately,Very,Extremely,Not often at all,Not at all likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Not at all,Very often,Very likely,Not at all extreme,I am ready to continue.,5,Male,1,45,To see if people trusted untrustworthy people.,1,2,0,4.24,0
44,20,Neither agree nor disagree,Somewhat agree,Somewhat agree,Very,Very,Very,Very,Moderately often,Very likely,Very extreme,SENDER,RECEIVER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Very,Moderately,Very,Very,Moderately often,Very likely,Very extreme,I am ready to continue.,20,Male,2,29,play a decision making game with a partner.,1,1,0,10.76,0
45,100,Somewhat agree,Somewhat disagree,Somewhat agree,Moderately,Very,Moderately,Somewhat,Slightly often,Extremely likely,Somewhat extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat disagree,Somewhat agree,Agree,Very,Moderately,Somewhat,Moderately,Moderately often,Slightly likely,Somewhat extreme,I am ready to continue.,10,Male,1,29,opinion with in people ,2,1,90,90.76,0.991626267
46,2,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Extremely,Extremely,Not often at all,Not at all likely,The most extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not very,Not very,Not very,Not very,Somewhat often,Somewhat likely,Not very extreme,I am ready to continue.,9.24,Male,0,22,The purpose I believe was to see if you can trust an individual in a game where you see that they lied previously in another game with another person.,1,2,7.24,7.24,1
47,250,Somewhat agree,Neither agree nor disagree,Strongly disagree,Very,Very,Extremely,Very,Slightly often,Slightly likely,Slightly extreme,SENDER,Both SENDER and RECEIVER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Moderately,Very,Moderately,Very,Not very often,Very likely,Very extreme,I am ready to continue.,200,Male,5+,26,Creative of the ideas,2,1,50,240.76,0.207675694
48,3.95,Disagree,Disagree,Disagree,Very,Extremely,Extremely,Extremely,Not very often,Not very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very,Very,Very,Very,Not very often,Slightly likely,Very extreme,I am ready to continue.,5,Female,4,54,"The purpose was to determine if the advisor was telling the truth or not about the number of coins in a jar, and decide whther to trust or not to trust them.",1,2,1.05,5.29,0.198487713
49,2.25,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Slightly,Slightly,Somewhat,Not very,Slightly often,Moderately likely,Not very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Strongly agree,Not very,Not very,Not at all,Not very,Very often,Extremely likely,Slightly extreme,I am ready to continue.,3,Female,1,49,To see if we trust the advice from someone that has lied in the past?,2,2,0.75,6.99,0.107296137
50,100,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Moderately,Moderately,Very,Very,Slightly often,Somewhat likely,Slightly extreme,RECEIVER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Slightly,Somewhat,Moderately,Moderately,Moderately often,Slightly likely,Somewhat extreme,I am ready to continue.,200,Male,1,28,To Learn about the decision making by our partner in a game,1,1,100,90.76,1.101806963
51,50,Agree,Strongly agree,Somewhat agree,Very,Moderately,Very,Moderately,Moderately often,Very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Neither agree nor disagree,Somewhat agree,Moderately,Very,Very,Very,Very often,Moderately likely,Somewhat extreme,I am ready to continue.,10,Male,2,30,na,2,1,40,40.76,0.981354269
52,5,Disagree,Disagree,Disagree,Somewhat,Somewhat,Moderately,Moderately,Not very often,Somewhat likely,Somewhat extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Slightly,Slightly,Somewhat,Slightly,Slightly often,Somewhat likely,Not very extreme,I am ready to continue.,9.24,Male,0,39,To tell how much trust a person has in a stranger.,2,2,4.24,4.24,1
53,1100,Agree,Somewhat disagree,Neither agree nor disagree,Moderately,Very,Moderately,Very,Very often,Very likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Very,Somewhat,Very,Moderately,Very often,Moderately likely,Very extreme,I am ready to continue.,12,Male,1,29,Collecting ideas ,1,1,1088,1090.76,0.997469654
54,6.54,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Slightly,Not very,Not very,Somewhat often,Moderately likely,Not very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Agree,Agree,Agree,Not very,Not very,Not very,Not very,Moderately often,Very likely,Not very extreme,I am ready to continue.,9.24,Female,2,30,I think to see how much you trusted the other participant and if you changed the guess based on their past dishonesty or honesty.,2,2,2.7,2.7,1
55,350,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat,Moderately,Very,Very,Not very often,Slightly likely,Not very extreme,Neither SENDER nor RECEIVER,Neither SENDER nor RECEIVER,The coin landed on TAILS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Neither agree nor disagree,Agree,Moderately,Somewhat,Somewhat,Moderately,Moderately often,Somewhat likely,Moderately extreme,I am ready to continue.,10,Male,2,30,yeah i think it was taken by study research purpose,1,1,340,340.76,0.997769691
56,1200,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Very,Moderately,Very,Very,Moderately often,Very likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat,Very,Very,Moderately,Very often,Moderately likely,Moderately extreme,I am ready to continue.,1000,Female,1,34,DATA COLLECTING ,1,1,200,1190.76,0.167959958
57,60,Somewhat agree,Agree,Strongly agree,Very,Moderately,Very,Very,Very often,Moderately likely,Very extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Agree,Agree,Very,Very,Moderately,Moderately,Very often,Moderately likely,Very extreme,I am ready to continue.,20,Female,2,30,na,1,1,40,50.76,0.788022065
58,4.21,Disagree,Disagree,Disagree,Somewhat,Somewhat,Somewhat,Somewhat,Not very often,Extremely likely,Slightly extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Moderately often,Extremely likely,Not at all extreme,I am ready to continue.,4.21,Male,0,35,To see if I could be tricked. It was obviously not a real person!,1,2,0,5.03,0
59,900,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Very,Moderately,Very,Very,Very often,Moderately likely,Moderately extreme,SENDER,SENDER,The coin landed on TAILS.,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Moderately,Very,Somewhat,Very,Moderately often,Very likely,Moderately extreme,I am ready to continue.,25,Female,2,34,data collect ,1,1,875,890.76,0.982307243
60,5,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Very,Very,Not very often,Not very likely,Very extreme,SENDER,SENDER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Not very,Somewhat often,Moderately likely,Somewhat extreme,I am ready to continue.,5,Female,0,20,find out how much we trust people,1,2,0,4.24,0
61,3.25,Disagree,Disagree,Disagree,Moderately,Moderately,Moderately,Moderately,Not very often,Somewhat likely,Somewhat extreme,SENDER,Both SENDER and RECEIVER,The coin landed on HEADS.,SENDER,SENDER,The coin landed on TAILS.,Agree,Agree,Agree,Not very,Not very,Not very,Not at all,Somewhat often,Very likely,Not very extreme,I am ready to continue.,7.5,Female,0,37,To determine whether or not someone was telling the truth.,2,2,4.25,5.99,0.70951586
