ID,Gender,Economics_exp,Age,condition,proclamation,lie,discounting_1,goal_1,discounting_2,goal_2,hypocrisy_1,hypocrisy_2,hypocrisy_3,hypocrisy_4,moral_1,moral_2,moral_3,counts
188,Male,3,29,2,absolute,one,3,1,4,1,5,3,4,4,3,3,2,7
189,Female,0,30,4,flexible,one,3,3,3,3,4,2,4,5,2,2,2,2
190,Male,0,56,3,flexible,repeat,2,3,3,3,5,6,4,5,2,4,4,2
191,Female,0,30,2,absolute,one,2,2,3,3,6,7,6,6,2,2,3,6
192,Female,0,31,3,flexible,repeat,3,4,4,4,5,3,5,5,1,1,2,6
193,Male,0,52,1,absolute,repeat,3,3,4,4,6,6,6,6,2,3,1,4
194,Female,1,61,4,flexible,one,2,2,3,3,3,3,5,3,2,2,2,5
195,Male,0,38,4,flexible,one,3,3,3,3,4,2,4,6,2,2,4,3
196,Male,2,21,3,flexible,repeat,3,2,3,3,4,5,4,3,4,5,4,6
197,Female,0,63,1,absolute,repeat,2,2,4,4,7,5,4,6,2,2,2,5
198,Female,1,29,3,flexible,repeat,3,3,3,3,3,5,2,2,4,5,4,5
199,Female,1,41,1,absolute,repeat,2,1,4,3,7,7,5,5,2,2,2,5
200,Prefer not to answer,0,26,2,absolute,one,3,1,3,3,5,5,5,5,2,2,2,2
201,Male,0,54,1,absolute,repeat,1,1,4,4,7,7,7,7,1,1,1,2
202,Male,1,41,3,flexible,repeat,3,3,3,3,4,3,3,5,2,2,3,5
203,Female,1,62,4,flexible,one,3,3,3,3,3,3,4,4,2,2,2,6
204,Female,2,22,1,absolute,repeat,3,1,4,3,7,7,6,6,4,2,3,3
205,Male,2,27,1,absolute,repeat,3,2,4,3,7,7,7,7,2,2,1,4
206,Male,5+,27,3,flexible,repeat,3,3,4,3,2,2,1,3,3,5,2,5
207,Male,0,24,3,flexible,repeat,3,3,4,3,5,5,4,6,1,2,1,3
208,Male,0,33,3,flexible,repeat,3,3,3,3,5,5,5,5,3,3,2,7
209,Female,2,22,3,flexible,repeat,3,3,4,4,4,5,5,5,2,2,2,5
210,Male,0,29,4,flexible,one,4,4,4,5,5,3,5,6,2,3,2,5
211,Female,1,57,3,flexible,repeat,4,3,4,4,6,6,6,6,2,2,2,2
212,Female,2,26,3,flexible,repeat,3,3,3,3,5,4,3,3,4,4,4,1
213,Female,0,54,4,flexible,one,3,3,3,3,2,3,5,5,2,2,2,6
214,Male,2,39,2,absolute,one,3,2,3,3,5,5,5,5,5,5,5,3
215,Female,1,25,1,absolute,repeat,4,2,4,4,7,7,7,7,1,1,1,6
216,Female,0,57,3,flexible,repeat,4,1,4,4,4,7,6,7,1,1,1,4
217,Female,0,25,1,absolute,repeat,3,2,4,3,6,6,6,6,3,4,3,3
218,Male,0,20,2,absolute,one,3,2,3,3,6,6,5,5,4,4,2,6
219,Male,1,28,1,absolute,repeat,1,2,4,4,7,7,7,7,1,1,2,4
220,Male,1,20,4,flexible,one,3,3,4,4,5,3,5,4,3,2,2,4
221,Male,1,49,1,absolute,repeat,2,4,4,4,7,5,6,6,2,2,2,6
222,Female,0,26,1,absolute,repeat,2,1,4,2,7,6,7,6,2,2,2,5
223,Male,2,40,4,flexible,one,4,3,4,4,2,2,5,5,3,3,2,6
224,Male,2,23,3,flexible,repeat,2,3,3,3,2,2,2,3,4,4,5,3
225,Female,0,27,4,flexible,one,3,3,3,3,2,3,4,4,4,3,3,4
226,Male,1,28,3,flexible,repeat,2,2,3,3,5,6,4,4,3,4,4,6
227,Female,0,26,4,flexible,one,3,3,3,3,4,2,4,4,2,3,2,4
228,Female,1,21,2,absolute,one,2,1,2,2,5,7,5,5,2,2,2,5
229,Male,2,48,1,absolute,repeat,2,2,4,4,6,6,6,6,1,2,1,4
230,Female,5+,38,3,flexible,repeat,3,3,4,4,2,2,6,5,2,2,2,2
231,Female,0,30,3,flexible,repeat,3,3,4,4,6,3,5,6,1,2,1,5
232,Female,0,45,1,absolute,repeat,2,2,4,4,6,5,6,5,3,3,2,3
233,Female,0,45,2,absolute,one,1,1,3,3,6,6,6,6,2,2,2,5
234,Male,0,21,4,flexible,one,3,3,3,3,4,4,4,4,5,5,5,6
235,Female,0,33,1,absolute,repeat,3,2,2,2,2,2,2,2,5,5,5,4
236,Female,2,33,4,flexible,one,3,3,3,3,2,2,3,3,2,2,2,4
237,Male,0,30,3,flexible,repeat,2,3,3,3,6,5,5,5,4,5,2,5
238,Female,0,33,3,flexible,repeat,3,3,3,3,3,3,4,6,1,1,1,4
239,Female,2,59,2,absolute,one,2,1,3,3,6,7,6,6,2,2,2,6
240,Female,0,25,3,flexible,repeat,2,3,3,4,5,4,5,5,3,3,3,5
241,Female,2,34,2,absolute,one,2,2,3,3,6,6,5,5,4,4,4,6
242,Female,0,21,2,absolute,one,2,1,3,3,5,5,4,4,3,3,3,5
243,Female,0,28,2,absolute,one,2,2,3,3,7,7,7,6,2,2,2,6
244,Male,1,42,2,absolute,one,2,1,3,2,5,6,5,5,4,4,4,5
245,Female,0,57,4,flexible,one,4,3,4,4,6,2,6,5,2,2,3,2
246,Male,0,29,1,absolute,repeat,2,1,2,1,1,2,2,1,6,5,6,4
247,Female,2,24,1,absolute,repeat,2,1,3,3,5,2,5,5,5,4,3,2
248,Female,0,45,1,absolute,repeat,2,2,4,4,7,5,4,6,2,2,2,4
249,Male,2,20,4,flexible,one,3,3,3,3,1,1,1,1,5,4,4,6
250,Male,0,19,1,absolute,repeat,2,3,2,3,3,5,3,5,5,5,5,2
251,Male,5+,36,4,flexible,one,3,3,3,3,4,4,4,4,4,4,4,7
252,Male,0,45,1,absolute,repeat,2,2,4,3,3,3,6,7,1,1,1,6
253,Female,0,40,4,flexible,one,3,3,4,4,4,3,5,5,1,1,2,1
254,Male,2,29,4,flexible,one,3,3,3,3,4,2,4,4,4,4,4,6
255,Female,1,24,2,absolute,one,3,2,4,3,6,6,2,3,5,4,2,6
256,Male,1,30,1,absolute,repeat,2,1,2,3,2,2,2,2,5,6,7,3
257,Female,1,24,3,flexible,repeat,3,2,4,4,3,4,4,4,2,2,2,5
258,Male,1,28,2,absolute,one,1,1,3,3,6,6,5,5,3,3,2,6
259,Female,0,22,4,flexible,one,3,3,3,3,3,5,4,5,2,2,2,6
260,Male,1,36,3,flexible,repeat,4,4,4,4,4,4,5,4,4,4,2,7
261,Male,0,29,2,absolute,one,2,2,3,3,5,6,5,5,3,3,3,4
262,Female,1,33,3,flexible,repeat,3,3,4,3,4,1,5,5,2,2,2,6
263,Male,0,25,2,absolute,one,2,1,3,3,6,6,4,6,2,3,2,3
264,Male,1,43,3,flexible,repeat,3,3,3,4,4,4,5,5,3,3,2,6
265,Female,4,35,3,flexible,repeat,3,3,4,4,5,3,6,6,2,1,2,3
266,Female,0,41,2,absolute,one,3,2,4,4,6,6,6,6,3,4,3,5
267,Male,0,28,3,flexible,repeat,4,3,4,4,2,2,2,6,2,2,2,6
268,Female,1,39,4,flexible,one,3,4,4,4,3,3,5,5,2,2,2,6
269,Male,2,24,2,absolute,one,2,1,2,3,6,5,4,6,4,4,3,5
270,Male,1,33,4,flexible,one,3,3,3,4,4,5,5,5,3,3,2,6
271,Female,1,30,2,absolute,one,2,1,3,3,5,5,5,5,4,4,4,3
272,Female,1,41,2,absolute,one,2,2,3,3,5,5,5,5,3,3,2,5
273,Male,3,39,4,flexible,one,4,3,4,3,2,2,7,7,1,2,1,2
274,Male,1,24,4,flexible,one,3,3,4,4,3,3,6,6,2,2,2,6
275,Female,0,26,1,absolute,repeat,2,1,3,3,6,6,6,5,1,1,2,5
276,Female,0,18,4,flexible,one,3,3,4,3,4,4,4,4,3,4,3,6
277,Female,0,50,1,absolute,repeat,2,1,3,3,4,4,4,4,4,4,4,6
278,Female,1,33,2,absolute,one,2,2,3,3,5,6,3,3,4,4,4,5
279,Male,0,28,4,flexible,one,2,3,3,3,5,5,5,5,2,2,2,3
280,Female,0,35,4,flexible,one,3,3,3,3,1,4,1,1,5,5,5,1
281,Male,1,33,1,absolute,repeat,3,2,3,3,7,7,7,7,3,3,2,3
282,Female,1,36,3,flexible,repeat,4,3,4,4,5,5,5,5,2,2,2,5
283,Male,1,19,4,flexible,one,4,3,4,3,1,1,1,1,5,5,5,7
284,Male,0,31,3,flexible,repeat,3,3,3,3,4,4,7,4,2,2,1,6
285,Male,0,52,3,flexible,repeat,3,3,3,4,2,4,3,3,4,3,4,2
286,Male,2,26,2,absolute,one,3,3,4,4,7,6,5,5,3,3,1,7
287,Female,2,35,3,flexible,repeat,3,3,4,4,7,3,7,6,1,2,1,6
288,Male,0,24,2,absolute,one,3,1,3,2,7,7,6,5,4,4,3,3
289,Male,1,49,1,absolute,repeat,2,1,3,3,5,6,6,5,4,3,3,2
290,Female,1,42,2,absolute,one,2,1,4,3,6,6,5,4,3,3,2,5
291,Male,0,27,3,flexible,repeat,3,3,4,3,5,5,5,5,2,3,2,4
292,Female,0,56,3,flexible,repeat,3,3,3,3,3,3,3,5,6,6,6,5
293,Female,2,30,4,flexible,one,4,3,4,4,3,2,6,6,2,2,2,3
294,Male,2,22,3,flexible,repeat,3,3,4,5,3,5,6,6,2,2,2,6
295,Female,1,38,3,flexible,repeat,3,3,4,4,1,2,7,4,2,4,2,6
296,Male,0,25,1,absolute,repeat,1,1,1,1,2,2,2,2,5,6,6,2
297,Male,1,26,2,absolute,one,5,4,4,4,5,5,5,5,1,1,1,6
298,Male,1,21,1,absolute,repeat,4,1,2,2,4,4,5,5,5,5,5,1
299,Male,0,18,1,absolute,repeat,3,2,3,3,7,1,2,5,3,2,3,3
300,Male,0,31,3,flexible,repeat,3,3,4,4,6,5,5,5,1,1,1,5
301,Female,1,41,1,absolute,repeat,3,1,3,3,5,5,4,4,4,4,4,5
302,Male,0,21,3,flexible,repeat,2,3,4,3,2,2,6,5,2,2,1,6
303,Male,1,30,1,absolute,repeat,2,1,2,2,7,7,7,7,1,1,1,4
304,Male,0,21,3,flexible,repeat,3,3,3,3,2,2,5,5,4,4,3,6
305,Female,0,22,4,flexible,one,4,3,3,3,5,2,3,5,3,4,2,6
306,Female,0,27,2,absolute,one,2,1,2,3,5,7,2,2,3,3,4,6
307,Male,2,38,1,absolute,repeat,2,1,4,4,7,7,6,6,2,3,2,4
308,Female,1,19,2,absolute,one,3,1,4,2,6,6,5,5,3,3,3,2
309,Male,3,38,4,flexible,one,4,3,4,4,5,1,6,4,3,4,1,3
310,Female,1,34,3,flexible,repeat,3,3,3,3,4,5,4,5,4,4,4,4
311,Male,0,27,2,absolute,one,2,1,3,3,5,7,6,5,5,5,4,6
312,Male,2,26,1,absolute,repeat,3,2,4,4,7,7,7,7,2,2,2,3
313,Male,2,21,3,flexible,repeat,3,4,4,4,5,6,7,6,3,2,2,6
314,Female,0,21,2,absolute,one,3,1,4,3,6,6,6,5,2,2,2,4
315,Female,0,38,2,absolute,one,3,2,3,3,5,6,4,5,2,2,2,6
316,Female,1,27,1,absolute,repeat,2,2,3,3,6,7,7,7,2,2,2,6
317,Female,5+,32,1,absolute,repeat,3,2,3,3,6,6,7,7,2,2,1,6
318,Female,0,32,2,absolute,one,1,1,3,2,6,7,5,6,2,2,2,5
319,Male,2,36,1,absolute,repeat,1,1,4,5,7,7,7,7,2,2,2,7
320,Male,3,37,3,flexible,repeat,3,2,3,3,2,2,2,2,4,4,4,3
321,Female,1,28,1,absolute,repeat,2,1,3,3,6,6,6,6,4,4,4,5
322,Male,0,27,1,absolute,repeat,2,1,5,5,7,4,7,7,1,1,1,7
