ID,Q793_1,Q658_1,Q658_2,Q658_3,Q658_4,Q658_5,Q668_1,Q668_2,Q668_3,Q846_1,Q846_2,Q847_1,Q796,Q7,Q8,Q789,Q10,Q819,Q820,condition,random,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm
184,Not very likely,Disagree,Disagree,Disagree,Disagree,Disagree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,No.,Female,34,Democrat,To see how people judge politicans.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,72218,flexible,yes,2,2,2,2,2,2,2,2,5,5,5
185,Not at all likely,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Once in a while,Somewhat,no,Male,38,Other,don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,69009,flexible,yes,7,1,6,7,7,1,1,1,6,3,4
186,Very likely,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat,Moderately,Very,Once in a while,Once in a while,Not very,No,Female,36,Democrat,Can politicians be honest about where there financing comes from if it hurts their donors?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,45308,flexible,yes,4,5,4,5,5,4,5,6,3,3,2
187,Slightly likely,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Slightly,Slightly,Sometimes,Pretty often,Moderately,too many to list,Female,48,Democrat,"opinions on whether lying is sometimes in people's best interest, or okay for politicians",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,51106,flexible,no,3,3,4,4,5,4,3,3,4,5,5
188,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Extremely,all of them. ,Male,36,Other,testing moral judgements ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,90770,absolute,yes,7,7,7,7,7,1,1,1,7,7,7
189,Somewhat likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Slightly,Not very,Once in a while,Sometimes,Somewhat,Joe Biden,Male,55,Republican,How much lying is there in politics?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,17728,absolute,no,5,6,5,5,5,2,3,2,3,4,4
190,Not very likely,Agree,Agree,Agree,Agree,Agree,Not at all,Not very,Not at all,Pretty often,Frequently,Moderately,"none in particular, seems like typical behavior for a politician",Male,34,Democrat, I'm not sure.,,"Yes, he did lie about his campaign contributions.",5,93876,control,no,6,6,6,6,6,1,2,1,5,6,5
191,Not very likely,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Not very,Not very,Not at all,Sometimes,Sometimes,Extremely,Donald Trump,Male,34,Republican,What people think is moral about lying,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,37905,absolute,no,7,7,6,5,7,2,2,1,4,4,7
192,Not very likely,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Slightly,Slightly,Not very,Once in a while,Once in a while,Slightly,No,Male,55,Democrat,To see people view politicians that lie.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,37361,flexible,yes,5,5,6,6,2,3,3,2,3,3,3
193,Not very likely,Strongly agree,Somewhat agree,Agree,Agree,Agree,Not very,Not very,Not very,Frequently,Frequently,Very,trump,Male,44,Democrat,unclear,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,87299,absolute,no,7,5,6,6,6,2,2,2,6,6,6
194,Not very likely,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Not very,Not very,Not very,Once in a while,Once in a while,Very,"Kelly Loeffler, I think the tries to seem like she is a regular person but shes actually one of the richest people in the Senate",Male,30,Democrat,To see how people view political candidates.,,"Yes, he did lie about his campaign contributions.",5,95588,control,no,5,6,6,6,4,2,2,2,3,3,6
195,Not very likely,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Not very,Not very,Not at all,Pretty often,Sometimes,Moderately,Made me think of the candidate that raised nearly one million and still lost the race. the name escapes me. Makes me think that despite how much money is collected if the candidate comes across as a liar chances of winning are slim.,Female,32,Republican,Finding a correlation between a candidate that presents one image of itself but data represent another side of the candidate. what are the sentiments created. ,,"Yes, he did lie about his campaign contributions.",5,89659,control,no,7,7,5,6,6,2,2,1,5,4,5
196,Slightly likely,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Frequently,Frequently,Extremely,"No one in particular, no",Male,29,Democrat,It seemed to be asking how much I valued honesty in politics,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,57497,absolute,yes,7,4,7,7,7,2,2,2,6,6,7
197,Not very likely,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Not very,Somewhat,Slightly,Once in a while,Almost never,Somewhat,No one in particular but I assume that most politicians lie at some point during their campaign.,Male,35,Republican,To see if honesty about lying and the nature of the lies affect our feelings towards politicians. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,26378,flexible,yes,5,6,5,4,5,2,4,3,3,2,4
198,Not very likely,Strongly agree,Somewhat agree,Agree,Somewhat agree,Disagree,Not very,Somewhat,Not very,Sometimes,Pretty often,Slightly,Lindsay Graham immediately sprang to mind because he is the biggest hypocrite in congress.,Male,58,Democrat,To gauge how respondents would react when learning that an otherwise promising politician is a liar?,,"Yes, he did lie about his campaign contributions.",5,77771,control,no,7,5,6,5,2,2,4,2,4,5,3
199,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Frequently,Frequently,Moderately,Donald Trump,Male,26,Democrat,To get my opinion on a political candidate.,,"Yes, he did lie about his campaign contributions.",5,55232,control,no,6,6,6,6,6,2,2,2,6,6,5
200,Not very likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Moderately,no,Female,59,Democrat,social and moral perspectives,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,95418,flexible,no,5,5,5,5,5,4,4,4,4,4,5
201,Not very likely,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Not very,Slightly,Not very,Pretty often,Frequently,Very,Many,Female,67,Republican,To assess how information is accepted and processed by those impacted.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,28515,flexible,no,6,4,6,6,7,2,3,2,5,6,6
202,Not at all likely,Agree,Agree,Agree,Agree,Disagree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,Joe Biden ,Male,40,Republican,No clue,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,70857,flexible,yes,6,6,6,6,2,1,1,1,6,6,7
203,Not very likely,Agree,Somewhat agree,Agree,Agree,Disagree,Not at all,Not very,Not very,Pretty often,Pretty often,Very,Joe Biden,Female,54,Republican,I am not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,33818,flexible,yes,6,5,6,6,2,1,2,2,5,5,6
204,Moderately likely,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Slightly,Slightly,Slightly,Pretty often,Sometimes,Moderately,Most politicians today,Female,21,Democrat,To see how we would react to a made up scenario due to our own experiences,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,92007,flexible,yes,4,4,5,4,6,3,3,3,5,4,5
205,Not at all likely,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Not at all,Not very,Not at all,Sometimes,Pretty often,Extremely,No.,Male,72,Other,My best guess is that this study was trying to understand how different types of people feel about dishonesty in the political process. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,44843,flexible,no,5,4,7,7,6,1,2,1,4,5,7
206,Not very likely,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Not very,Not very,Not very,Sometimes,Pretty often,Moderately,"Trump would never admit he's lying, but it looks like they share the same ""values""..",Male,41,Other,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,18615,flexible,yes,6,4,6,6,4,2,2,2,4,5,5
207,Not very likely,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Moderately,Somewhat,Somewhat,Pretty often,Sometimes,Very,The whole Republican party!,Female,54,Democrat,Opinion about someone whom we know is crooked.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,87885,flexible,yes,2,2,2,2,5,5,4,4,5,4,6
208,Slightly likely,Agree,Agree,Strongly agree,Strongly agree,Agree,Slightly,Somewhat,Slightly,Pretty often,Frequently,Not very,All of them. I believe that they all lie.,Female,47,Republican,Politic ethics or the media influence on people?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,30866,absolute,yes,6,6,7,7,6,3,4,3,5,6,2
209,Somewhat likely,Strongly agree,Agree,Agree,Somewhat agree,Agree,Not at all,Not very,Not very,Frequently,Pretty often,Very,"Every politician comes to mind, i have long since gave up on them and sticking to their word.",Male,27,Democrat,To observe responses towards the typical politician actions.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,38867,absolute,no,7,6,6,5,6,1,2,2,6,5,6
210,Slightly likely,Agree,Agree,Agree,Agree,Strongly agree,Not very,Not very,Not very,Pretty often,Pretty often,Extremely,None that I can think of,Female,43,Other,To determine how we view politicians who lie about things that are easy to check out,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,64044,absolute,no,6,6,6,6,7,2,2,2,5,5,7
211,Not at all likely,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree,Not very,Not very,Not at all,Sometimes,Sometimes,Very,no,Female,29,Republican,I have no idea.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,76796,flexible,yes,4,4,5,6,3,2,2,1,4,4,6
212,Moderately likely,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Moderately,Moderately,Moderately,Sometimes,Once in a while,Very,None,Male,38,Democrat,"On the surface, it was about honesty in politics. I think it could have been deeper than that, as I was first told that Mr Johnson was someone I typically agreed with, so right away I am persuaded to support him. However later I learn that the candidate is less than honest, so I think the study could be to see how myself as the individual, views dishonesty not necessarily in politics, rather from my preferred candidate. ",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,15228,flexible,yes,4,2,3,3,2,5,5,5,4,3,6
213,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Pretty often,Pretty often,Moderately,no,Male,39,Democrat,I don't know.,,"Yes, he did lie about his campaign contributions.",5,38535,control,no,5,5,5,5,5,2,2,2,5,5,5
214,Slightly likely,Agree,Agree,Agree,Agree,Agree,Slightly,Slightly,Slightly,Sometimes,Once in a while,Somewhat,No,Male,24,Democrat,Evaluate perception of a politician and morality.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,98241,absolute,no,6,6,6,6,6,3,3,3,4,3,4
215,Not very likely,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Somewhat,does literally all of them count?,Male,38,Other,I dunno,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,80684,flexible,no,3,3,4,4,5,4,4,4,4,4,4
216,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Moderately,All of them.,Male,29,Democrat,How people think of corruption in politics.,,"Yes, he did lie about his campaign contributions.",5,46643,control,no,7,7,7,7,7,1,1,1,7,7,5
217,Slightly likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Not very,Not very,Not very,Sometimes,Pretty often,Moderately,"No, it just kind of brought to mind the behavior of politicians in general",Female,35,Democrat,To see whether people are more likely to vote for a candidate for claims to be honest but isn't or for a candidate who lies but never claims to be honest.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,92559,flexible,yes,3,3,3,3,2,2,2,2,4,5,5
218,Moderately likely,Disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Very,All of them.,Female,55,Republican,To evaluate a candidate.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,59428,absolute,yes,2,2,2,3,4,4,4,4,4,4,6
219,Not very likely,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Not very,Not very,Not very,Pretty often,Pretty often,Very,his blatant (ironically) honesty about lying was a new one for me so I don't think so.,Male,35,Democrat,How morally you judge someone based on how they feel about lying and a report about them,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,40437,flexible,no,3,3,5,5,3,2,2,2,5,5,6
220,Somewhat likely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Moderately,Somewhat,Moderately,Frequently,Once in a while,Extremely,DONALD TRUMP,Female,33,Democrat,POLITICS,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,32647,absolute,no,1,1,1,1,1,5,4,5,6,3,7
221,Very likely,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Not very,Not very,Not at all,Always,Always,Extremely,yes,Male,32,Democrat,about interviewing mr johnson,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,22420,flexible,yes,7,7,7,6,6,2,2,1,7,7,7
222,Slightly likely,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Not very,Not very,Sometimes,Pretty often,Moderately,No,Female,35,Other,Judgement of people who lie or are hypocrites,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,62237,flexible,no,6,6,5,5,5,3,2,2,4,5,5
223,Slightly likely,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Slightly,Slightly,Somewhat,Pretty often,Sometimes,Somewhat,"All of them, lol ",Female,33,Democrat,To see if *what* he lied about affects people differently,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,78360,flexible,no,4,5,5,4,5,3,3,4,5,4,4
224,Extremely likely,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Extremely,Extremely,Extremely,Never ever,Never ever,Very,no,Female,27,Democrat,politics and deception,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,58518,absolute,yes,1,1,1,3,1,7,7,7,1,1,6
225,Slightly likely,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Slightly,Slightly,Slightly,Frequently,Pretty often,Extremely,Too many to list.,Female,58,Republican,To see how people view someone as moral and ethical.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,26073,absolute,no,7,7,7,5,6,3,3,3,6,5,7
226,Slightly likely,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Slightly,Slightly,Sometimes,Sometimes,Extremely,"I hear similar stories in the news quite frequently, but I can't think of a specific example at the moment.",Male,35,Republican,"I believe the purpose of this study was to provide my opinions about a politician's moral character, and whether he is someone I would likely trust.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,96652,absolute,yes,5,6,4,4,5,4,3,3,4,4,7
227,Slightly likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Not very,Slightly,Somewhat,Sometimes,Sometimes,Moderately,no,Female,43,Democrat,How do I feel about politicians?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,53551,absolute,yes,5,6,5,5,6,2,3,4,4,4,5
228,Not very likely,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Not very,Not very,Not very,Pretty often,Pretty often,Somewhat,"Just the biggest blatant liar of them all, Donald Trump",Female,41,Republican,Is it acceptable for politicians to lie when it is fairly common?,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,71538,flexible,yes,4,4,6,7,4,2,2,2,5,5,4
229,Slightly likely,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Slightly,Somewhat,Somewhat,Once in a while,Once in a while,Slightly,Elizabeth Warren,Female,59,Democrat,I'm really unsure!,,"Yes, he did lie about his campaign contributions.",5,89519,control,no,4,5,4,4,6,3,4,4,3,3,3
230,Not at all likely,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Extremely,none specifically,Female,35,Democrat,not really sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,71131,flexible,no,7,2,7,7,7,1,1,1,7,7,7
231,Extremely likely,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely,Extremely,Extremely,Sometimes,Always,Somewhat,No at all at least none that I can think of. ,Male,30,Democrat,The purpose of this study is to see how I feel about a politician and his political stance. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,71587,flexible,yes,3,1,1,1,1,7,7,7,4,7,4
232,Somewhat likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Sometimes,Pretty often,Somewhat,pretty much all of them,Male,41,Other,no idea,,"Yes, he did lie about his campaign contributions.",5,29161,control,no,5,4,5,4,4,3,3,3,4,5,4
233,Not at all likely,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Not at all,Not at all,Not at all,Always,Always,Extremely,No it did not,Male,31,Other,To see what we thought about Politicians that were honest about them lying publicly. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,46206,flexible,no,4,2,7,7,1,1,1,1,7,7,7
234,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,Thom Tillis and Cal Cunningham,Female,21,Democrat,To understand perceptions of politicians ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,93383,absolute,yes,7,7,7,7,7,1,1,1,6,6,7
235,Slightly likely,Agree,Somewhat disagree,Agree,Agree,Disagree,Not very,Slightly,Not very,Pretty often,Frequently,Somewhat,No,Male,42,Republican,I don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,21915,flexible,yes,6,3,6,6,2,2,3,2,5,6,4
236,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Sometimes,Sometimes,Very,none,Prefer not to answer,47,Other,People's perception of a politician.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,80133,absolute,no,6,6,6,6,6,2,2,2,4,4,6
237,Very likely,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Very,Extremely,Very,Frequently,Pretty often,Moderately,not aware of it,Male,33,Democrat,politics and daily life,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,30605,absolute,yes,5,3,6,4,6,6,7,6,6,5,5
238,Not very likely,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Not at all,Not very,Not very,Pretty often,Sometimes,Moderately,I think Matthew Johnson is just a typical politician.,Male,25,Other,To see how I would respond about how a political candidate acted.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,86088,absolute,yes,5,6,7,5,7,1,2,2,5,4,5
239,Not at all likely,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Always,Very,Trump!,Female,55,Other,to see how information changes our perception of politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,15702,absolute,yes,7,6,7,7,7,1,1,1,6,7,6
240,Slightly likely,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Slightly,Slightly,Somewhat,Pretty often,Sometimes,Somewhat,All of them,Male,31,Democrat,Determining what level of bullshit we'll support from the people who lead our political interests.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,90055,flexible,yes,5,5,4,4,5,3,3,4,5,4,4
241,Not at all likely,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Not at all,Not at all,Not at all,Frequently,Always,Somewhat,No,Prefer not to answer,35,Democrat,To determine how people feel about candidates honesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,61534,flexible,yes,5,4,5,6,4,1,1,1,6,7,4
242,Not very likely,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Not very,Not very,Not very,Pretty often,Sometimes,Very,"It brought Donald Trump to mind specifically, as it seems Trump lies in almost every tweet he puts out.  All politicians lie to some extent though.",Male,39,Democrat,I think the study wanted to see how much a politician lying affected my overall perception of him.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,54445,absolute,yes,6,7,7,6,7,2,2,2,5,4,6
243,Not at all likely,Agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Not very,Not very,Not very,Pretty often,Once in a while,Very,None specifically but his behavior seems typical of our current politicians.,Female,34,Other,Evaluating opinions of a politician after they demonstrate dishonesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,81795,flexible,no,6,4,6,6,5,2,2,2,5,3,6
244,Slightly likely,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Not very,Not very,Not very,Pretty often,Almost never,Very,No,Male,47,Democrat,To understand how subjective morality is within politics. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,37000,flexible,no,2,2,5,5,1,2,2,2,5,2,6
245,Somewhat likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Somewhat,Once in a while,Once in a while,Not very,Ted Cruz,Male,37,Democrat,political bias,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,54550,absolute,no,5,5,5,5,5,4,4,4,3,3,2
246,Moderately likely,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Slightly,Moderately,Somewhat,Frequently,Pretty often,Not very,"Governor Gavin Newsom, CA",Female,50,Republican,"Only Superman and Wonder Woman have the power of NOT lying.  ""Normal"" humans would be murdered for telling the truth.  We need super powers to protect us from the truth!",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,17257,absolute,no,5,4,6,5,4,3,5,4,6,5,2
247,Slightly likely,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat,Somewhat,Not very,Sometimes,Sometimes,Somewhat,Joe Biden,Male,25,Other,Investigating the impact of politicians actions and statements  on voters viewpoints ,,"Yes, he did lie about his campaign contributions.",5,27606,control,no,4,4,5,5,4,4,4,2,4,4,4
248,Not very likely,Agree,Agree,Agree,Agree,Strongly agree,Not very,Not very,Not very,Sometimes,Sometimes,Very,"No, the description didn't bring up any specific politician to mind really, though it is common for politicians or candidates to say their campaign is grass roots, or a certain percentage of donors only donated a small amount. ",Female,36,Democrat,To see how politicians' lies affect people's perceptions of them. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,89803,absolute,no,6,6,6,6,7,2,2,2,4,4,6
249,Not very likely,Strongly agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Not at all,Not at all,Not at all,Always,Always,Extremely,No,Male,27,Democrat,Behavioral perception,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,70026,flexible,yes,7,5,7,6,4,1,1,1,7,7,7
250,Moderately likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Slightly,Somewhat,Somewhat,Frequently,Pretty often,Somewhat,The current ones we are dealing with,Female,32,Democrat,jjudgement,,"Yes, he did lie about his campaign contributions.",5,64179,control,no,4,4,4,3,5,3,4,4,6,5,4
251,Somewhat likely,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat,Slightly,Slightly,Once in a while,Almost never,Slightly,No,Male,25,Democrat,See how you view a candidate you are for when they are hypocrites to a candidate you are against. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,37688,absolute,yes,5,4,4,5,6,4,3,3,3,2,3
252,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Sometimes,Pretty often,Extremely,No one specific,Female,31,Other,See how seriously people judged lying from politicians,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,27252,absolute,no,7,7,7,7,7,2,2,2,4,5,7
253,Not very likely,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Not very,Not very,Not very,Pretty often,Pretty often,Very,"Not any particular one, no.",Male,25,Democrat,To see how we feel about our politicians lying?,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,31537,absolute,yes,7,5,5,5,7,2,2,2,5,5,6
254,Not at all likely,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Not very,Not very,Not very,Frequently,Frequently,Moderately,the president,Female,36,Democrat,How often do politicians lie,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,26214,flexible,yes,3,3,5,7,6,2,2,2,6,6,5
255,Not very likely,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat,Slightly,Not at all,Frequently,Always,Extremely,Almost all of them,Male,27,Democrat,How one lie would interpret into how you feel about a candidate ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,90334,absolute,yes,7,7,6,6,6,4,3,1,6,7,7
256,Slightly likely,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Not very,Slightly,Not very,Sometimes,Once in a while,Very,no,Female,56,Republican,to see if people think lying politicians are immoral,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,69690,absolute,no,6,7,5,5,7,2,3,2,4,3,6
257,Not very likely,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Not very,Slightly,Not very,Almost never,Never ever,Somewhat,mind is dstrction,Male,42,Democrat,good,,"Yes, he did lie about his campaign contributions.",5,24694,control,no,2,4,4,3,2,2,3,2,2,1,4
258,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Always,Always,Extremely,nope,Female,18,Democrat,I am unsure what the purpose of this survey was.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,16248,absolute,no,7,7,7,7,7,1,1,1,7,7,7
259,Slightly likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Somewhat,"Yes, Joe Biden lying about his son Hunter Biden taking dirty money from Burisma and China and then sending kickbacks back to Joe Biden aka the big guy",Male,61,Republican,About the affinity for career politicians to be liars and corrupt residents of the swamp,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,53540,absolute,no,5,5,5,5,5,3,3,3,4,4,4
