ID,Q793_1,Q658_1,Q658_2,Q658_3,Q658_4,Q658_5,Q668_1,Q668_2,Q668_3,Q846_1,Q846_2,Q847_1,Q796,Q7,Q8,Q789,Q10,Q819,Q820,condition,random,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm
18,Slightly likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Not very,Not very,Not very,Sometimes,Sometimes,Somewhat,no,Female,30,Democrat,I'm not sure.,,"Yes, he did lie about his campaign contributions.",5,61345,control,no,5,6,5,5,6,2,2,2,4,4,4
19,Not at all likely,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Not at all,Not at all,Not very,Pretty often,Sometimes,Extremely,none that I can think of,Male,34,Democrat,I am not too sure,,"Yes, he did lie about his campaign contributions.",5,57324,control,no,7,7,6,6,4,1,1,2,5,4,7
20,Moderately likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Somewhat,Somewhat,Once in a while,Once in a while,Very,I thought of no politicans when thinking of Matthew Johnson.,Male,32,Democrat,To see what people think of the lies of a politician,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,61330,absolute,no,4,4,4,4,5,4,4,4,3,3,6
21,Slightly likely,Somewhat agree,Agree,Strongly agree,Agree,Agree,Not very,Not very,Not very,Frequently,Always,Moderately,Trump or Lindsey Graham,Male,50,Republican,acceptability of lying,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,38414,flexible,no,5,6,7,6,6,2,2,2,6,7,5
22,Extremely likely,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very,Very,Very,Almost never,Almost never,Very,no,Male,33,Republican,to trick people into thinking there was a game with a shitty survey,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,15960,absolute,no,1,1,1,1,1,6,6,6,2,2,6
23,Not very likely,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Not very,Not very,Not very,Frequently,Sometimes,Moderately,All politicians,Female,25,Other,Perception of good values with bad actions,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,55996,flexible,no,5,5,6,6,5,2,2,2,6,4,5
24,Very likely,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Not very,Not very,Not very,Frequently,Frequently,Very,All politicians in general,Male,30,Republican,To determine if people vote based on ethics vs party line.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,70326,absolute,yes,6,4,6,6,7,2,2,2,6,6,6
25,Not very likely,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Not very,Not very,Not very,Sometimes,Sometimes,Very,"yes, our current leadership in the higher government cabinet",Male,51,Democrat,To assess moral and ethical considerations when voting,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,46767,absolute,no,6,6,5,5,6,2,2,2,4,4,6
26,Not very likely,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Not very,Slightly,Not very,Frequently,Frequently,Moderately,The description did not bring any particular politicians to mind.,Female,38,Democrat,I'm unsure what this study was about. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,96249,flexible,no,3,3,4,5,3,2,3,2,6,6,5
27,Not very likely,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Somewhat,Trump,Female,40,Other,To see how we view political candidates in terms of their honesty.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,13967,flexible,no,4,5,5,5,5,3,3,3,4,4,4
