id,gender,age,group,stance,condition,comm_honest,honest_f,honest_e,honest_l,Honest_compositeGD,m1,m2,m3,M_compositeGD,agree
216,Male,30,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,3,2,5,2,3,2,2,3,2.333333333,6
217,Male,40,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,5,6,3,5,4.75,5,5,5,5,7
218,Male,39,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,5,5,6,3,4.75,6,6,6,6,6
219,Female,45,control,,10,5,6,6,5,5.5,6,7,6,6.333333333,NA
220,Female,47,never,Its never okay to lie,1,6,6,7,6,6.25,6,6,6,6,7
221,Male,44,rarely,Its rarely okay to lie,2,6,6,4,4,5,6,6,6,6,6
222,Female,47,never-harm,"Its never okay to lie, except if it prevents harm",4,5,5,3,3,4,5,5,5,5,4
223,Female,31,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,7,5,7,3,5.5,7,7,6,6.666666667,7
224,Male,28,control,,10,5,7,2,7,5.25,7,6,6,6.333333333,NA
225,Female,26,never-goodreason,"Its never okay to lie, except if you have a good reason",5,4,6,3,5,4.5,5,5,5,5,6
226,Male,39,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,6,4,5,5,6,6,6,6,6
227,Male,26,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,1,2,3,3,7,7,6,6.666666667,5
228,Male,22,sometimes,its sometimes okay to lie,3,5,5,6,5,5.25,5,5,5,5,6
229,Female,36,control,,10,6,3,7,3,4.75,6,5,5,5.333333333,NA
230,Female,28,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,4,6,2,5,4.25,5,5,5,5,5
231,Female,41,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,6,6,4,5.5,6,7,6,6.333333333,7
232,Male,37,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,5,6,2,5,4.5,4,4,5,4.333333333,2
233,Male,45,never-harm,"Its never okay to lie, except if it prevents harm",4,5,6,5,4,5,5,5,5,5,5
234,Male,25,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,6,6,4,5.5,6,6,6,6,6
235,Female,35,control,,10,6,6,6,5,5.75,6,6,5,5.666666667,NA
236,Male,31,never,Its never okay to lie,1,7,2,2,7,4.5,7,7,7,7,7
237,Male,32,never-goodreason,"Its never okay to lie, except if you have a good reason",5,7,7,7,5,6.5,7,7,7,7,7
238,Male,35,rarely,Its rarely okay to lie,2,6,7,6,7,6.5,6,6,6,6,6
239,Male,29,never,Its never okay to lie,1,7,7,7,7,7,7,7,7,7,7
240,Male,67,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,5,3,6,4,4.5,5,4,5,4.666666667,6
241,Male,27,sometimes,its sometimes okay to lie,3,1,3,1,2,1.75,1,1,1,1,1
242,Female,37,sometimes-exceptional,"Its sometimes okay to lie, but only in really exceptional circumstances",9,6,5,3,5,4.75,5,5,6,5.333333333,5
243,Female,41,never-harm,"Its never okay to lie, except if it prevents harm",4,5,5,3,5,4.5,5,5,5,5,2
244,Female,28,never-goodreason,"Its never okay to lie, except if you have a good reason",5,6,5,6,2,4.75,6,6,6,6,7
245,Female,24,sometimes-goodreason,Its sometimes okay to lie if you have a good reason,8,3,5,5,4,4.25,3,3,3,3,6
246,Female,40,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,6,1,6,2,3.75,6,7,7,6.666666667,6
247,Female,35,sometimes-harm,Its sometimes okay to lie if it prevents harm,7,6,6,5,3,5,5,4,5,4.666666667,2
248,Male,30,never-exceptional,"Its never okay to lie, except in really exceptional circumstances",6,7,6,6,6,6.25,6,6,6,6,5
249,Female,41,control,,10,6,3,5,2,4,6,6,5,5.666666667,NA
250,Male,27,rarely,Its rarely okay to lie,2,5,6,3,5,4.75,6,6,5,5.666666667,3
251,Male,37,sometimes,its sometimes okay to lie,3,4,5,4,2,3.75,5,5,4,4.666666667,1
